Timestamp,Total_Memory_Used_GB,Total_Memory_Used,Working_Set_GB,Peak_Working_Set_GB,CPU_Clock_MHz,CPU_Usage,Cores_Usage
2016-02-19T20:37:21.728769,6.61952972412109,41.6902714611428,0.0001220703125,0.0001220703125,3201,14,35;23;17;52;
2016-02-19T20:37:30.488482,7.26679229736328,45.7667774230051,0.428642272949219,0.428642272949219,3201,19,23;23;5;64;
2016-02-19T20:37:32.080703,7.38678359985352,46.5224912247825,0.554622650146484,0.554634094238281,3201,57,100;94;94;88;
2016-02-19T20:37:33.656323,7.87254333496094,49.5818407655401,1.02919006347656,1.36322021484375,3201,100,94;100;100;100;
2016-02-19T20:37:35.232943,8.46165084838867,53.2920820029359,1.61483383178711,1.61485290527344,3201,100,100;100;100;100;
2016-02-19T20:37:36.825164,8.8101921081543,55.4872197756523,1.98612594604492,1.98614883422852,3201,100,100;100;100;100;
2016-02-19T20:37:41.134819,9.02705001831055,56.8530063979204,2.23870086669922,2.43860626220703,3201,83,82;64;82;100;
2016-02-19T20:37:42.711439,9.05353546142578,57.0198136122183,2.25396728515625,2.43860626220703,3201,86,76;94;76;94;
2016-02-19T20:37:44.274460,9.10129547119141,57.3206095682905,2.29203033447266,2.43860626220703,3201,83,70;88;94;82;
2016-02-19T20:37:45.837480,9.14458084106445,57.5932239224081,2.32985305786133,2.43860626220703,3201,85,94;100;100;94;
2016-02-19T20:37:47.414100,9.18888092041016,57.8722289893304,2.3714714050293,2.43860626220703,3201,89,88;88;94;82;
2016-02-19T20:37:48.990721,9.23062515258789,58.1351371480603,2.41317367553711,2.43860626220703,3201,86,64;88;88;70;
2016-02-19T20:37:50.568341,9.29245758056641,58.524562200135,2.47198104858398,2.47198104858398,3201,92,82;94;88;88;
2016-02-19T20:37:52.143961,9.33411026000977,58.7868937531984,2.51052474975586,2.51052474975586,3201,79,94;76;82;100;
2016-02-19T20:37:53.720582,9.37981033325195,59.0747160817723,2.55277252197266,2.55277252197266,3201,97,82;94;94;64;
2016-02-19T20:37:55.297202,9.43112945556641,59.3979275831333,2.59432220458984,2.59432220458984,3201,92,70;76;82;76;
2016-02-19T20:37:56.859222,9.77133178710938,61.5405461897177,2.95394515991211,2.95394515991211,3201,100,94;100;94;100;
2016-02-19T20:37:58.406642,10.4368476867676,65.7320129063568,3.60152435302734,4.02743911743164,3201,88,94;88;94;94;
2016-02-19T20:37:59.968662,10.9690132141113,69.0836294443684,4.14594268798828,4.14594268798828,3201,89,88;88;94;100;
2016-02-19T20:38:01.545283,11.2920875549316,71.1183747408278,4.40273284912109,4.58178329467773,3201,100,100;100;100;100;
2016-02-19T20:38:03.139503,11.3123741149902,71.2461409464502,4.49699401855469,4.59770584106445,3201,100,100;100;87;100;
2016-02-19T20:38:04.731724,11.6464958190918,73.3504633266783,4.83796691894531,4.83796691894531,3201,100,100;100;100;100;
2016-02-19T20:38:06.308344,12.2353630065918,77.0591909741993,5.45279312133789,5.45279312133789,3201,98,93;100;93;93;
2016-02-19T20:38:07.884964,12.9193878173828,81.3672281364345,6.12989807128906,6.12989807128906,3201,100,94;100;100;100;
2016-02-19T20:38:09.461585,13.4494667053223,84.705702870295,6.67236709594727,6.67236709594727,3201,97,100;100;94;100;
2016-02-19T20:38:11.053805,14.2282600402832,89.6105989731614,7.40297698974609,7.61267852783203,3201,92,100;100;88;100;
2016-02-19T20:38:12.631426,14.018684387207,88.2906765266236,7.4163932800293,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:38:19.908521,13.3474273681641,84.0630518296419,6.8185920715332,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:38:21.500741,13.1840782165527,83.0342671942608,6.654052734375,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:38:23.061762,12.9675903320313,81.6708110198953,6.43917846679688,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:38:24.653982,12.6950607299805,79.954400101867,6.17180252075195,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:38:26.215002,12.565673828125,79.1395121435556,6.05140686035156,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:38:27.791622,12.3666229248047,77.8858753234397,5.85697937011719,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:38:29.400443,12.126049041748,76.3707238082882,5.57665634155273,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:38:31.008264,11.8814163208008,74.8300094419178,5.38266754150391,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:38:32.584884,11.7406425476074,73.943406153824,5.23114013671875,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:38:34.145904,11.4750366210938,72.2706010393317,4.9869384765625,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:38:35.976128,10.9344444274902,68.8659127547576,4.42269515991211,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:38:38.105158,11.4670715332031,72.2204363463382,4.98664855957031,7.61267852783203,3201,73,100;100;100;100;
2016-02-19T20:38:39.698378,12.4463233947754,78.3878345814444,5.94981002807617,7.61267852783203,3201,100,52;88;58;64;
2016-02-19T20:38:41.290599,13.52880859375,85.2054037561054,7.02786254882813,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:38:42.867219,12.7399520874023,80.237129080386,6.11302947998047,7.61267852783203,3201,75,17;70;64;94;
2016-02-19T20:38:44.443839,10.8073997497559,68.0657762914165,4.30630493164063,7.61267852783203,3201,86,88;70;76;70;
2016-02-19T20:38:46.021460,10.8179893493652,68.1324703468523,4.31480407714844,7.61267852783203,3201,80,87;100;81;87;
2016-02-19T20:38:47.584480,11.1414222717285,70.1694740155059,4.67341613769531,7.61267852783203,3201,98,100;100;100;100;
2016-02-19T20:38:49.192301,11.1439208984375,70.1852105451566,4.64148330688477,7.61267852783203,3201,79,81;75;62;93;
2016-02-19T20:38:50.769921,11.4047317504883,71.8278159378611,4.9050407409668,7.61267852783203,3201,90,100;94;94;94;
2016-02-19T20:38:52.362142,12.2451553344727,77.1208637552886,5.73947143554688,7.61267852783203,3201,96,82;100;100;94;
2016-02-19T20:38:53.938762,13.0091934204102,81.9328302448892,6.49948501586914,7.61267852783203,3201,95,100;100;100;94;
2016-02-19T20:38:55.525383,13.6050796508789,85.6857643268489,7.11757278442383,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:38:57.180004,13.6682815551758,86.0838144386864,7.15007019042969,7.61267852783203,3201,98,100;100;100;100;
2016-02-19T20:38:58.820026,13.5939979553223,85.6159710159552,7.11880493164063,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:39:00.756451,13.6875419616699,86.2051178557957,7.21449279785156,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:39:02.426672,13.6943778991699,86.2481710789013,7.17366790771484,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:39:04.098894,13.7574501037598,86.6454043327111,7.26554107666016,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:39:05.815916,13.794132232666,86.8764310031257,7.30189895629883,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:39:07.517338,10.9503631591797,68.9661700650363,4.45919418334961,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:39:09.156359,10.556957244873,66.4884714904536,4.06000137329102,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:39:10.839582,10.1008682250977,63.6159902361441,3.62205505371094,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:39:13.494616,10.1693344116211,64.0471951738106,3.67919921875,7.61267852783203,3201,82,64;100;82;94;
2016-02-19T20:39:15.071236,10.8460388183594,68.3091279079545,4.30243301391602,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:39:16.913060,12.1268157958984,76.3755528807459,5.53877258300781,7.61267852783203,3201,94,100;100;100;100;
2016-02-19T20:39:18.567681,12.1991348266602,76.8310233068815,5.67266845703125,7.61267852783203,3201,100,47;64;94;94;
2016-02-19T20:39:20.737109,9.69063949584961,61.032340370325,3.16889190673828,7.61267852783203,3201,75,64;70;94;88;
2016-02-19T20:39:22.284529,9.62857055664063,60.6414257536116,3.0799560546875,7.61267852783203,3201,76,23;88;100;88;
2016-02-19T20:39:23.861150,9.68253326416016,60.9812867435955,3.10253524780273,7.61267852783203,3201,51,75;68;62;68;
2016-02-19T20:39:25.438770,9.08982467651367,57.2483656833138,2.5202751159668,7.61267852783203,3201,100,29;58;29;88;
2016-02-19T20:39:27.015390,9.14084243774414,57.5696791910222,2.57150268554688,7.61267852783203,3201,94,94;94;100;94;
2016-02-19T20:39:28.623211,9.14501571655273,57.5959627993244,2.57150268554688,7.61267852783203,3201,82,76;88;94;88;
2016-02-19T20:39:30.199831,9.15023040771484,57.6288052970841,2.5715217590332,7.61267852783203,3201,79,70;58;82;100;
2016-02-19T20:39:31.792052,9.14786911010742,57.6139336759332,2.5715217590332,7.61267852783203,3201,79,64;76;82;94;
2016-02-19T20:39:33.368672,9.10600662231445,57.3502807348839,2.5715217590332,7.61267852783203,3201,66,100;100;100;100;
2016-02-19T20:39:34.960893,9.11284637451172,57.3933579832256,2.58304595947266,7.61267852783203,3201,100,87;56;87;87;
2016-02-19T20:39:36.678915,8.65410232543945,54.5041551645849,2.12302017211914,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:39:38.333536,8.55949401855469,53.9083052838702,2.01388549804688,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:39:39.972557,8.53245544433594,53.7380144103366,1.98880767822266,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:39:42.360388,8.49808883666992,53.5215710582396,1.95053863525391,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:39:44.046210,8.47183227539063,53.3562053581082,1.92647171020508,7.61267852783203,3201,100,100;100;100;100;
2016-02-19T20:39:45.608230,8.40654373168945,52.9450134421196,1.8607177734375,7.61267852783203,3201,66,43;56;87;81;
